Mã,P (Person),A (Action),O (Object),Q (Quote/Sound)
22,Peter Parker,Bắn tơ từ tay,Người Nhện,"Sức mạnh càng lớn, trách nhiệm càng nhiều ""Tè te tè té te"" (tiếng bắn tơ phập phập)"
23,Gordon Ramsay,Chấm,Nước Mắm,"""It's raw!"" (tiếng rót róc rách)"
24,Super Mario,Hái,Nấm Rơm,"""It's-a me, Mario!"" (tiếng ting ting ăn nấm)"
25,Tần Thủy Hoàng,ngậm mãi như ninja ngậm bùa,Nhân Sâm,"""Trẫm muốn trường sinh bất lão"" (tiếng gươm rút khỏi vỏ)"
26,Frodo Baggins,đeo vào ngón áp út,Nhẫn Bạc,"""The Ring is mine"" (tiếng thì thầm thì thào)"
27,Green Goblin,Ném,Nổ Pháo,"""Godspeed, Spider-Man!"" (tiếng cười điên dại Khặc khặc!)"
28,Joker,Tiêm,Nghiện Hút,"""Why so serious?"" (điệu cười man rợ)"
29,Master Roshi (Quy Lão),Đẩy xe lăn,Người già,"""Kamehameha!"" (tiếng chống gậy cộc cộc)"
30,Harley Quinn,tô sơn,Móng Chân,"""Puddin!"" (tiếng cười điên dại hề hước)"
31,Anonymous Hacker,Dùng tua vít vặn,Máy Tính,"""We do not forgive. We do not forget."" -Tiếng quạt tản nhiệt: ""Vù... vù... rè rè..."""
32,Beethoven,ngoáy tai,Màng Nhĩ,"""Khúc giao hưởng số 5"" (Tèn ten ten tén)"
33,Nick Fury,Moi,Móc Mắt,"""I still have one good eye"" (tiếng tháo bịt mắt)"
34,Gene Kelly,Che ô chùm,Mưa Rào,"""Singing in the rain"" (tiếng mưa rào rào)"
35,Iron Man,Uốn cong,Móc Sắt,"""I am Iron Man"" (tiếng động cơ phản lực vù vù)"
36,Tom Cruise,Lái,Máy Bay,"""I feel the need... the need for speed!"" (tiếng động cơ gầm rú)"
37,Vito Corleone (The Godfather),Xả Nã súng Tommy,Ma Phia,"""I'm gonna make him an offer he can't refuse"" (tiếng nhạc Godfather)"
38,Miley Cyrus,Liếm,Màn Hình TV,"""I came in like a wrecking ball"" nhạc "
39,Deadpool,Chui,Máy Giặt,"""Maximum effort!"" (tiếng vắt đồ rào rào)"
40,Leatherface (Texas Chainsaw),Kéo máy cưa lia qua lại,Răng Cưa,"""Grrrrrrr"" (tiếng cưa máy rú ầm ầm)"
41,Hằng Nga,Đan,Rổ Tre,"""Chú Cuội đâu rồi?"" (tiếng lạch cạch đan rổ)"
42,Hannibal Lecter,Nhồi,Ruột Non,"""Hello, Clarice"" (tiếng húp xì xụp)"
43,Salt Bae,Rắc đều,Rắc Muối,"Salt Bae ""Rắc rắc"" (tiếng thả muối lách tách)"
44,Tarzan,Đu,Ròng Rọc,"""A-a-a-a-a-a"" (tiếng đu dây vèo vèo)"
45,Lý Tiểu Long,Múa,Rồng Sắt (gậy),"""Be water, my friend"" (tiếng múa côn vù vù)"
46,Optimus Prime,Lắp Ráp,Rô Bốt,"""Autobots, roll out!"" (tiếng biến hình ầm ầm)"
47,Aquaman,giăng lưới,Rô Phi,"""Ta là vua Atlantis"" (tiếng cá quẫy tõm tõm)"
48,Popeye,Bóp nát bằng 1 tay,Rau Hẹ,"""I am what I am!"" (tiếng bóp nát hộp rau chân vịt)"
49,Dominic Toretto,Vặn Ga,Rồ Ga,"""Family"" (tiếng nẹt pô vroom vroom)"
50,Mr. Bean,Hút,Sữa Chua,"""Teddy!"" (tiếng mút thìa chùn chụt)"
51,Catwoman,Quất Roi,Sư Tử,"I am Catwoman. Hear me roar!"
52,Hamlet,Hôn má,Sọ Người,"""To be, or not to be"" (tiếng xương kêu răng rắc)"
53,Frankenstein,Khâu vá,Sứt môi,"""Victor, I forgive you"" (tiếng rên rỉ gầm gừ)"
54,Minions,Ngửi,Sầu Riêng,"""Banana!"" (tiếng cười he he he)"
55,Edward Scissorhands,Xoay gọt vỏ lốc xoáy,quả Su Su,"""I am not complete"" (tiếng móng tay kéo cắt lách cách) "
56,Silver Surfer,Lướt sóng,Sóng Biển,"""To me, my board!"" (tiếng sóng vỗ ào ạt) "
57,Pikachu,cắm điện vào mồm,Sạc Pin,"""Pika Pikachu!"" (tiếng điện giật xẹt xẹt)"
58,Bugs Bunny,Nhai,Su Hào,"""What's up, Doc?"" (tiếng nhai củ cải rồm rộp)"
59,Michael Jackson,moonwalk lau nhà,Sàn Gỗ,"""Hee-hee!"" (tiếng giày trượt moonwalk xoẹt xoẹt)"
60,Vua bọ cạp,Kẹp kìm,Bọ Cạp,"live free, die well"
61,Zoro hải tặc,Xỏ kiếm xuyên qua,Bông Tai,Santoryu! (tiếng kiếm xoẹt)
62,Donald Trump,bẻ,Bắp Ngô,"""Make America Great Again"" (tiếng bẻ ngô rắc rắc)"
63,Casper,Vồ như vồ ếch,Bóng Ma,"""I am friendly ghost"" (tiếng vù vù u ám)"
64,Michael Jordan,Úp rổ,Bóng Rổ,"""I can accept failure, but I can't accept not trying"" (tiếng tưng bóng pụp pụp)"
65,Hoa Đà,Bắt mạch,Bác Sĩ,"""Để ta xem mạch tượng"" (tiếng nhịp tim đập thì thịch) "
66,chú Hề Pennywise (IT),Bơm phồng,Bóng Bay,"""You'll float too"" (tiếng nổ lốp bốp)"
67,Bill Gates,Gõ 10 ngón,Bàn Phím,"""Phần mềm là ma thuật"" (tiếng lạch cạch gõ phím)"
68,Nguyễn Ái Quốc,bắt tay ,Tượng Bác Hồ,"""không có gì quý hơn độc lập tự do"" (tiếng nhạc Tiến Quân Ca vang dội)"
69,Bob Marley,Ôm,Bình Ga,"""Don't worry about a thing"" (tiếng xịt ga xì xì)"
70,Sniper PUBG (Ghillie Suit),Nhảy dù cùng,Phi Công,"""Winner winner chicken dinner!"" (tiếng dù bung phập) "
71,Veigar - Liên Minh Huyền Thoại,vận gậy làm thiên thạch rơi,Phù Thủy,"""I am evil! Stop laughing!"" (tiếng cười và uỳnh lớn thiên thạch rơi xuống)
72,Wreck-It Ralph,dùng khoan phá nhà,Phá Nhà,"""I'm gonna wreck it!"" (tiếng đổ vỡ ầm ầm)"
73,Thomas Edison,Sút bóng vào,Phát Minh bóng đèn,"""Thiên tài là 1% cảm hứng"" (tiếng bóng đèn sáng bíp)"
74,Marilyn Monroe,Vỗ bôi phấn phủ mặt,Phấn Rôm,"""Happy birthday Mr. President"" (tiếng vỗ phấn bụp bụp)"
75,Lâm chánh anh,dán bùa vào trán,Pháp Sư,"""Cấp cấp như luật lệnh"" (tiếng lắc chuông)"
76,Hòa Thân,Xòe Đếm,Phong Bì,"""Khò khò... toàn là bạc thật!"" - tiếng cổ cầm"
77,Đường Tăng,Lạy 5 vóc chạm chân,Phật Pháp,"""Nam mô A Di Đà Phật"" (tiếng gõ mõ lốc cốc)"
78,Ghost Rider,châm lửa,Phóng Hỏa,"""Look into my eyes"" (tiếng lửa cháy phừng phừng)"
79,Bà Tweedy (Chicken Run),Hót bằng xẻng,Phân Gà,Lũ gà đang ủ mưu! (tiếng cạo xẻng rột rột)
80,Kwang Soo (Running Man),Dắt cổ,Hươu Cao Cổ,"""Phản bội! Phản bội!"" (tiếng hươu kêu)"
81,Shrek,Chảy nước mắt,Hành Tây,"""Ogres are like onions!"" (tiếng nhai chóp chép)"
82,Ratatouille Linguini,nếm,Hạt Nêm,"""Anyone can cook!"" (tiếng chép miệng hít hà) "
83,Dracula,Ói,Hộc Máu,"""I want to suck your blood"" (tiếng khạc máu khụ khụ)"
84,Thành Long (Jackie Chan),Nhảy leo qua,Hàng Rào,"""Wa-cha!"" (tiếng trèo rào sột soạt)"
85,King Leonidas (300),Đạp tống xuống,Hố Sâu,"""This is Sparta!"" (Tiếng thét và tiếng rơi vọng lại Aaaaaa...)"
86,Võ Tắc Thiên,Choàng Mặc,Hoàng Bào,"""Miễn lễ"" (tiếng vải bay phần phật)"
87,Sơn Tùng M-TP,Cúi xuống nhặt,Hoa Phượng,"""Có chắc yêu là đây?"" (âm thanh thì thầm m...t..p...)"
88,Venom,Xịt khử mùi,Miệng Hôi Hám,"""We are Venom"" (tiếng nhểu dãi tỏng tỏng)"
89,Thạch Sanh,xới tung,Hạt Gạo,"""Niêu cơm thần"" (tiếng xới cơm sột soạt)"
90,John Cena,Kẹp cổ (Chokehold),Gà Chọi,"""You can't see me!"" (tiếng gáy o o o)"
91,Saitama One-Punch Man,Đấm bằng,Găng Tay đỏ,"""Tôi là một anh hùng làm vì sở thích." (I'm just a guy who's a hero for fun)"" (tiếng bùm nổ lớn)"
92,Tôn Ngộ Không,Biến dài,Gậy Như Ý,"""Lão Tôn tới đây!"" (tiếng vung gậy vù vù)"
93,Gollum (Chúa Nhẫn),Móc lưỡi câu,Giun Móc,My precious! (tiếng giun ngọ nguậy nhóp nhép)
94,Pinocchio,Trà sát,Giấy Giáp,"""Mũi tôi đang dài ra!"" (tiếng chà rèn rẹt)"
95,Homer Simpson,tựa lưng,Ghế Sofa,"""D'oh!"" (tiếng nệm lún cái xịch)"
96,Storm (X-Men),quạt ba tiêu,Gió Bão,"""Sấm sét hãy nổi lên!"" (tiếng gió rít ù ù)"
97,Nelson Mandela,cởi gông,Giải Phóng,"""Tự do không thể chia cắt"" (tiếng hò reo vang dội)"
98,Mr. Beast,Quay phim,Máy Ghi Hình,"""Trong video này..."" (tiếng bấm máy bíp bíp)"
99,Nobita,treo lên dây phơi,Ga Giường,"""tại sao mắt lại ở phía trước""  - Tiếng sụt sịt (Sniffing): ""Hức... hức..."""
Jc,Neo (Ma trận),Giật rút dây,Giắc Cắm,"""I know Kung Fu"" (tiếng tuốt cáp điện xoẹt xoẹt) "
Jr,Steve Jobs,Chạm nhẹ đầu ngón,Iphone,"""One more thing..."" (tiếng chuông iPhone marimba)"
Jt,Bao Tô Bà (Tuyệt đỉnh Kungfu),Hét sư tử hống,Inh Tai,"""Đóng tiền nhà chưa hả?!"" (tiếng vỡ kính xoảng) "
Jb,Jinx LOL,phóng lựu đạn,Người Khổng Lồ,"""Bye-bye!"" (tiếng ""Kaboom!"")"
qc,Hercules,Vác lên vai,Quả Cầu,"""I can go the distance!"" ""Hnnnnnn... GHHH!"" (Tiếng gồng mình, nghiến răng khi dồn lực vào vai)."
qr,Pikotaro (PPAP),cắm bút,Quả rứa,"""PPAP!"" (âm thanh bút đâm phập)"
qt,Bạch Tuyết,Cắn,Quả Táo,"""Gương kia ngự ở trên tường"" (tiếng cắn táo rộp rộp)"
qb,Ant-Man,nghiền nát,Quả Bơ,"""It's a taco!""  - tiếng máy xay"
kc,CR7 Ronaldo,bật nguồn,Đầu TV K+,"""Siuuuuuuuu!"" (tiếng bật TV lạch cạch)"
kr,Men In Black (Will Smith),Cài,Kính Râm,"""Nhìn vào đây"" (tiếng xịt xóa trí nhớ flash!)"
kt,Xuka,quấn,Khăn Tắm,"""Á á á! Đồ Nobita biến thái!"" (tiếng tát bốp)"
kb,Phi hành gia Cooper – Phim Interstellar,Dò bằng máy dò,Kho Báu,"Mankind was born on Earth. It was never meant to die here." -"Tít... rè... tít!" – Tiếng sóng radio nhiễu loạn
0,Maleficent (Angelina Jolie),Rót/Đổ (Pouring),Cốc,"""Well, well... what a glittering assemblage!"" - ""Róc rách... xèo xèo..."" – Tiếng chất lỏng ma thuật chảy vào cốc và tiếng khói bốc lên."
1,Tào Tháo,bắn ngàn tên vào,thuyền,"""Thà ta phụ thiên hạ chứ không để thiên hạ phụ ta"" (tiếng mũi tên cắm phập phập)"
2,Raiden (Mortal),Đội chụp xuống,Nón lá việt,"""Thunder take you!"" (tiếng sấm chớp đùng đoàng) "
3,Naruto,Gắp đũa húp xì xụp,mỳ tôm,Dattebayo! (tiếng húp mỳ sột soạt)
4,Rambo,Liếc mài dao dạo rực,dao,Mission accomplished (tiếng mài xẹt xẹt)
5,Đông Tà Hoàng Dược Sư,Thổi sáo,Sáo trúc,"Nhân tại giang hồ, thân bất do kỷ. (tiếng sáo despacito)"
6,The Collector,ghim cắm,bướm,"If he catches you, he's gonna make you wish you were dead. Tiếng kim đâm (Piercing): ""Phập... sột..."" "
7,Vịt Donald,kẹp nách,Phao,Quack quack! (tiếng lạch bạch xì xộp)
8,Black Panther,Cào rách da thịt mặt,Hổ,"Wakanda Forever!" (tiếng gầm rú)"
9,Po (Kung Fu Panda),Lấy bụng mỡ hất văng,gấu,Skadoosh! (tiếng mỡ rung núng nính)
