58,Em Sơn hà nội,Nhai,Su Hào
59,Cô Sen lao công,Lau sàn,Sàn Gỗ
60,Bạn Bích Bác Sĩ,Kẹp nhíp,Bọ Cạp
61,chị Biên,Xỏ lỗ,Bông Tai
62,Bác Bản ở chùa,luộc,Bắp Ngô
63,Anh Bảo,đuổi bắt,Bóng Ma
64,Big Daddy,Úp rổ,Bóng Rổ
65,Xuân Bắc,Bắt mạch,Bác Sĩ
66,Vợ Bình,Bơm phồng,Bóng Bay
67,Bill Gate,Gõ 10 ngón,Bàn Phím
68,Anh Bách Việt Mỹ,Chào điều lệnh,Bác Hồ
69,Bob Marley,Ôm,Bình Ga
70,bạn Phong,Nhảy dù cùng,Phi Công
71,Cô Phán thảo,Hóa trang thành,Phù Thủy
72,chú Phú,Khoan cắt bê tông,Phá Nhà
73,Pele,Sút bóng vào,Phát Minh
74,Cát Phượng,Vỗ phấn phủ mặt,Phấn Rôm
75,anh Phúc giám đốc,Xếp chân kiết già,Pháp Sư
76,Bá Phương,Đếm,Phong Bì
77,Phước Thịnh,Lạy 5 vóc,Phật Pháp
78,em Phi,châm lửa,Phóng Hỏa
79,Rapper Pháo,Hót xẻng,Phân Gà
80,cháu Hải,Vươn cổ,Hươu Cao Cổ
81,anh Hùng Liên,Chảy nước mắt,Hành Tây
82,chị Huyền,nếm,Hạt Nêm
83,Hoàng,Ói,Hộc Máu
84,anh Hợp hàng xóm,Leo qua tường,Hàng Rào
85,bà Hiên,Đào,Hố Sâu
86,anh Huy,Choàng Mặc,Hoàng Bào
87,sếp  Hạnh,Nhặt từng cánh,Hoa Phượng
88,em Hường,Xịt khử mùi,Miệng Hôi Hám
89,bà Hiệp,Sàng,Hạt Gạo
90,Cháu Loa,bóp cổ,Gà Chọi
91,Em Linh,Đấm bằng,Găng Tay
92,anh Lanh,Biến dài,Gậy Như Ý
93,bạn Loan,câu bằng,Giun Móc
94,Mùi A Lưu,Trà sát,Giấy Giáp
95,Em Long,tựa lưng,Ghế Sofa
96,Gì Liên,quạt ba tiêu,Gió Bão
97,Chú Liệu,Mở cửa,Giải Phóng
98,Em Leng,Quay phim,Máy Ghi Hình
99,Anh Lực,Trải phẳng,Ga Giường
Jc,Bác sĩ Gấm,rút dây,Giắc Cắm
Jr,Stive Jobs,Chạm nhẹ đầu ngón,Iphone
Jt,Jack 5 Củ ca sĩ,Hét,Inh Tai
Jb,Võ Nguyên Giáp,Phóng tên lửa,Người Khổng Lồ
qc,Chị Quế,tâng bằng đùi,Quả Cầu
qr,anh Quý,khoét,Quả rứa
qt,anh Quang,Cắn,Quả Táo
qb,Quỳnh anh,nghiền xay nát,Quả Bơ
kc,Khoa xuka,bật nguồn,Đầu TV K+
kr,Khoát,Cài,Kính Râm
kt,Bác Khoan,quấn,Khăn Tắm
kb,thầy Kiên,Dò bằng máy,Kho Báu
